random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.44,0.625,0.725,0.56
0.57,0.125,0.825,0.56
0.5,0.325,0.325,0.41
0.35,0.825,0.525,0.5
0.77,0.625,0.825,0.76
0.76,0.225,0.225,0.49
0.73,0.125,0.725,0.61
0.47,0.925,0.925,0.7
0.7,0.925,0.325,0.63
0.67,0.825,0.625,0.69
0.42,0.925,0.425,0.52
0.5,0.425,0.125,0.37
0.69,0.125,0.425,0.5
0.47,0.525,0.725,0.56
0.61,0.225,0.325,0.45
0.43,0.425,0.125,0.34
0.42,0.225,0.925,0.53
0.51,0.825,0.825,0.67
0.53,0.425,0.625,0.54
0.68,0.725,0.225,0.55
0.66,0.225,0.125,0.41
0.78,0.825,0.825,0.8
0.37,0.525,0.325,0.39
0.33,0.825,0.325,0.43
0.47,0.525,0.325,0.44
0.55,0.125,0.425,0.43
0.57,0.625,0.625,0.6
0.61,0.725,0.925,0.73
0.3,0.825,0.625,0.5
0.73,0.325,0.225,0.5
0.45,0.825,0.525,0.55
0.73,0.125,0.425,0.52
0.62,0.925,0.125,0.53
0.7,0.325,0.425,0.54
0.49,0.425,0.325,0.43
0.67,0.125,0.725,0.58
0.61,0.725,0.525,0.61
0.68,0.925,0.425,0.65
0.75,0.225,0.125,0.46
0.64,0.725,0.325,0.56
0.4,0.225,0.525,0.4
0.48,0.725,0.525,0.54
0.37,0.925,0.425,0.5
0.79,0.425,0.925,0.76
0.71,0.125,0.525,0.54
0.41,0.225,0.925,0.53
0.35,0.725,0.225,0.39
0.71,0.425,0.225,0.51
0.46,0.125,0.325,0.35
0.7,0.325,0.225,0.48
0.79,0.325,0.625,0.65
0.64,0.725,0.925,0.74
0.73,0.725,0.125,0.55
0.56,0.325,0.925,0.62
0.32,0.425,0.325,0.34
0.57,0.725,0.925,0.71
0.72,0.325,0.825,0.67
0.54,0.225,0.925,0.59
0.64,0.525,0.725,0.64
0.64,0.425,0.525,0.56
0.77,0.225,0.825,0.68
0.59,0.525,0.925,0.68
0.32,0.625,0.825,0.53
0.56,0.725,0.725,0.64
0.37,0.625,0.925,0.59
0.36,0.725,0.325,0.42
0.68,0.525,0.625,0.63
0.65,0.125,0.925,0.63
0.5,0.525,0.625,0.54
0.53,0.325,0.625,0.52
0.52,0.425,0.925,0.62
0.35,0.725,0.125,0.36
0.5,0.725,0.825,0.64
0.51,0.625,0.925,0.66
0.53,0.625,0.325,0.49
0.46,0.925,0.625,0.6
0.61,0.125,0.725,0.55
0.54,0.325,0.225,0.4
0.39,0.725,0.625,0.53
0.75,0.925,0.725,0.78
0.6,0.225,0.725,0.56
0.43,0.425,0.225,0.37
0.68,0.125,0.125,0.4
0.43,0.525,0.525,0.48
0.72,0.225,0.125,0.44
0.74,0.725,0.325,0.61
0.49,0.325,0.125,0.35
0.48,0.225,0.825,0.53
0.48,0.425,0.625,0.51
0.67,0.425,0.825,0.67
0.47,0.225,0.225,0.35
0.31,0.825,0.625,0.51
0.6,0.825,0.525,0.62
0.7,0.825,0.925,0.79
0.67,0.525,0.925,0.72
0.35,0.425,0.725,0.48
0.77,0.625,0.825,0.76
0.68,0.125,0.425,0.49
0.52,0.425,0.725,0.56
0.32,0.625,0.625,0.47
0.68,0.425,0.325,0.52
0.47,0.925,0.425,0.55
0.35,0.325,0.825,0.49
0.73,0.525,0.325,0.57
0.39,0.625,0.325,0.42
0.5,0.625,0.225,0.44
0.79,0.225,0.825,0.69
0.56,0.625,0.925,0.68
0.48,0.925,0.425,0.55
0.51,0.725,0.625,0.59
0.77,0.425,0.725,0.69
0.5,0.125,0.725,0.49
0.48,0.625,0.625,0.55
0.55,0.625,0.925,0.68
0.78,0.925,0.325,0.67
0.43,0.325,0.625,0.47
0.51,0.825,0.225,0.49
0.34,0.925,0.425,0.48
0.36,0.725,0.825,0.57
0.32,0.325,0.125,0.26
0.57,0.625,0.825,0.66
0.54,0.925,0.825,0.7
0.65,0.225,0.225,0.44
0.76,0.325,0.525,0.6
0.76,0.425,0.625,0.65
0.66,0.825,0.825,0.74
0.8,0.725,0.825,0.79
0.74,0.125,0.825,0.64
0.65,0.225,0.925,0.65
0.68,0.625,0.225,0.53
0.57,0.825,0.425,0.58
0.41,0.725,0.425,0.48
0.4,0.725,0.425,0.47
0.47,0.925,0.625,0.61
0.79,0.625,0.225,0.59
0.68,0.125,0.225,0.43
0.31,0.125,0.225,0.25
0.67,0.525,0.325,0.54
0.36,0.825,0.225,0.41
0.79,0.125,0.125,0.46
0.72,0.925,0.725,0.76
0.74,0.225,0.325,0.51
0.73,0.525,0.825,0.72
0.75,0.525,0.925,0.76
0.4,0.225,0.825,0.49
0.53,0.825,0.425,0.56
0.46,0.625,0.825,0.6
0.7,0.725,0.625,0.68
0.58,0.725,0.725,0.65
0.75,0.725,0.125,0.56
0.67,0.725,0.725,0.7
0.33,0.325,0.325,0.33
0.37,0.225,0.325,0.33
0.31,0.525,0.225,0.33
0.36,0.725,0.425,0.45
0.69,0.525,0.125,0.49
0.48,0.825,0.625,0.59
0.77,0.325,0.925,0.73
0.53,0.425,0.325,0.45
0.39,0.825,0.725,0.58
0.49,0.125,0.825,0.52
0.78,0.525,0.725,0.71
0.69,0.425,0.925,0.71
0.36,0.125,0.525,0.36
0.52,0.925,0.225,0.51
0.67,0.325,0.125,0.44
0.69,0.725,0.625,0.68
0.4,0.525,0.225,0.37
0.5,0.325,0.125,0.35
0.66,0.925,0.225,0.58
0.69,0.225,0.425,0.52
0.7,0.525,0.725,0.67
0.49,0.225,0.125,0.33
0.37,0.225,0.625,0.42
0.37,0.725,0.425,0.46
0.67,0.425,0.525,0.58
0.49,0.525,0.325,0.45
0.57,0.125,0.425,0.44
0.66,0.725,0.425,0.6
0.7,0.425,0.525,0.59
0.68,0.125,0.425,0.49
0.64,0.125,0.225,0.41
0.73,0.725,0.125,0.55
0.7,0.525,0.325,0.55
0.36,0.525,0.625,0.47
0.35,0.825,0.525,0.5
0.77,0.325,0.225,0.52
0.33,0.425,0.725,0.47
0.33,0.325,0.325,0.33
0.39,0.625,0.325,0.42
0.38,0.125,0.625,0.4
0.6,0.725,0.925,0.72
0.54,0.625,0.625,0.58
0.76,0.225,0.825,0.67
0.41,0.725,0.925,0.63
0.35,0.625,0.925,0.58
0.32,0.725,0.225,0.37
0.62,0.725,0.125,0.49
0.62,0.325,0.825,0.62
0.59,0.425,0.725,0.6
0.35,0.425,0.825,0.51
0.64,0.725,0.625,0.65
0.73,0.625,0.125,0.53
0.55,0.125,0.525,0.46
0.61,0.625,0.325,0.53
0.48,0.525,0.125,0.38
0.48,0.825,0.225,0.47
0.6,0.325,0.325,0.46
0.31,0.225,0.225,0.27
0.49,0.525,0.425,0.48
0.72,0.625,0.125,0.52
0.64,0.325,0.425,0.51
0.65,0.925,0.425,0.64
0.38,0.625,0.625,0.5
0.61,0.625,0.325,0.53
0.65,0.125,0.825,0.6
0.67,0.825,0.525,0.66
0.34,0.525,0.425,0.4
0.78,0.725,0.425,0.66
0.44,0.725,0.425,0.49
0.78,0.725,0.425,0.66
0.62,0.525,0.325,0.51
0.43,0.125,0.625,0.43
0.68,0.925,0.925,0.8
0.44,0.425,0.625,0.49
0.5,0.825,0.525,0.57
0.38,0.425,0.925,0.55
0.78,0.925,0.525,0.73
0.55,0.725,0.225,0.49
0.45,0.925,0.825,0.66
0.44,0.325,0.325,0.38
0.4,0.225,0.925,0.52
0.46,0.125,0.525,0.41
0.51,0.425,0.725,0.56
0.68,0.725,0.225,0.55
0.76,0.325,0.325,0.54
0.33,0.425,0.425,0.38
0.75,0.225,0.625,0.61
0.74,0.425,0.125,0.49
0.51,0.125,0.425,0.41
0.32,0.425,0.525,0.4
0.4,0.725,0.425,0.47
0.31,0.525,0.525,0.42
0.33,0.425,0.225,0.32
0.4,0.725,0.225,0.41
0.55,0.625,0.825,0.65
0.6,0.925,0.225,0.55
0.79,0.425,0.625,0.67
0.6,0.425,0.625,0.57
0.55,0.425,0.525,0.52
0.62,0.525,0.725,0.63
0.49,0.825,0.925,0.69
0.52,0.725,0.125,0.44
0.4,0.925,0.925,0.66
0.44,0.325,0.925,0.56
0.77,0.625,0.425,0.64
0.7,0.125,0.625,0.56
0.58,0.725,0.925,0.71
0.35,0.525,0.525,0.44
0.62,0.325,0.125,0.41
0.8,0.625,0.225,0.59
0.47,0.825,0.425,0.53
0.66,0.825,0.625,0.68
0.52,0.325,0.225,0.39
0.47,0.425,0.925,0.6
0.4,0.425,0.525,0.44
0.62,0.525,0.625,0.6
0.56,0.525,0.725,0.6
0.39,0.925,0.625,0.57
0.55,0.225,0.125,0.36
0.35,0.625,0.725,0.52
0.78,0.225,0.125,0.47
0.37,0.225,0.425,0.36
0.4,0.225,0.925,0.52
0.66,0.625,0.925,0.73
0.78,0.225,0.725,0.65
0.76,0.825,0.525,0.7
0.39,0.825,0.525,0.52
0.77,0.125,0.525,0.57
0.42,0.825,0.325,0.47
0.67,0.525,0.325,0.54
0.73,0.225,0.425,0.54
0.35,0.825,0.625,0.53
0.47,0.325,0.925,0.58
0.59,0.425,0.125,0.42
0.41,0.825,0.225,0.44
0.4,0.125,0.225,0.29
0.5,0.825,0.825,0.66
0.31,0.425,0.225,0.31
0.55,0.825,0.425,0.57
0.47,0.325,0.725,0.52
0.69,0.425,0.925,0.71
0.73,0.625,0.925,0.77
0.35,0.825,0.925,0.62
0.43,0.225,0.725,0.48
0.67,0.525,0.825,0.69
0.52,0.125,0.425,0.41
0.4,0.725,0.625,0.53
0.76,0.125,0.825,0.65
0.46,0.525,0.125,0.37
0.57,0.625,0.325,0.51
0.6,0.525,0.625,0.59
0.43,0.725,0.125,0.4
0.46,0.325,0.125,0.33
0.55,0.925,0.125,0.5
0.69,0.625,0.725,0.69
0.78,0.725,0.425,0.66
0.4,0.325,0.525,0.42
0.39,0.725,0.125,0.38
0.53,0.325,0.425,0.46
0.68,0.725,0.225,0.55
0.43,0.625,0.425,0.47
0.35,0.525,0.125,0.32
0.3,0.825,0.425,0.44
0.32,0.825,0.925,0.6
0.59,0.725,0.325,0.54
0.3,0.525,0.725,0.47
0.66,0.925,0.625,0.7
0.65,0.325,0.425,0.52
0.67,0.225,0.525,0.54
0.43,0.525,0.525,0.48
0.46,0.825,0.325,0.49
0.73,0.825,0.625,0.72
0.73,0.825,0.525,0.69
0.52,0.125,0.325,0.38
0.41,0.425,0.425,0.42
0.58,0.525,0.325,0.49
0.57,0.525,0.625,0.58
0.41,0.525,0.725,0.53
0.66,0.125,0.925,0.63
0.62,0.825,0.725,0.69
0.7,0.425,0.225,0.5
0.75,0.625,0.325,0.6
0.36,0.225,0.825,0.47
0.79,0.725,0.325,0.64
0.67,0.125,0.325,0.46
0.62,0.225,0.725,0.57
0.64,0.425,0.525,0.56
0.71,0.525,0.425,0.59
0.35,0.325,0.125,0.28
0.5,0.325,0.125,0.35
0.34,0.925,0.225,0.42
0.63,0.625,0.125,0.48
0.43,0.825,0.625,0.57
0.32,0.925,0.425,0.47
0.37,0.425,0.625,0.46
0.39,0.925,0.825,0.63
0.46,0.125,0.225,0.32
0.79,0.325,0.525,0.62
0.46,0.225,0.225,0.34
0.35,0.825,0.425,0.47
0.75,0.425,0.625,0.65
0.74,0.425,0.225,0.52
0.75,0.125,0.125,0.44
0.63,0.125,0.225,0.41
0.4,0.225,0.825,0.49
0.43,0.525,0.225,0.39
0.51,0.725,0.825,0.65
0.48,0.225,0.425,0.41
0.4,0.725,0.225,0.41
0.57,0.125,0.725,0.53
0.61,0.525,0.225,0.48
0.8,0.625,0.825,0.77
0.33,0.225,0.825,0.46
0.4,0.525,0.625,0.49
0.71,0.625,0.925,0.76
0.32,0.925,0.125,0.38
0.33,0.725,0.125,0.35
0.57,0.925,0.125,0.51
0.36,0.925,0.925,0.64
0.53,0.925,0.225,0.52
0.72,0.325,0.925,0.7
0.54,0.225,0.625,0.5
0.66,0.725,0.925,0.75
0.77,0.725,0.625,0.72
0.42,0.225,0.625,0.44
0.56,0.825,0.225,0.51
0.6,0.325,0.925,0.64
0.36,0.125,0.525,0.36
0.36,0.625,0.825,0.55
0.48,0.925,0.225,0.49
0.61,0.125,0.425,0.46
0.33,0.125,0.825,0.44
0.61,0.725,0.625,0.64
0.48,0.525,0.225,0.41
0.46,0.725,0.325,0.47
0.64,0.425,0.125,0.44
0.64,0.325,0.925,0.66
0.33,0.825,0.825,0.58
0.6,0.925,0.825,0.73
0.69,0.625,0.525,0.63
0.47,0.825,0.925,0.68
0.59,0.125,0.825,0.57
0.4,0.925,0.625,0.57
0.46,0.825,0.225,0.46
0.65,0.125,0.425,0.48
0.77,0.225,0.925,0.71
0.71,0.325,0.325,0.52
0.72,0.425,0.925,0.72
0.44,0.425,0.525,0.46
0.49,0.525,0.125,0.39
0.68,0.225,0.425,0.51
0.67,0.225,0.425,0.51
0.42,0.625,0.925,0.61
0.66,0.825,0.225,0.56
0.75,0.825,0.625,0.73
0.78,0.325,0.125,0.49
0.34,0.725,0.825,0.56
0.73,0.225,0.525,0.57
0.78,0.925,0.625,0.76
0.62,0.825,0.125,0.51
0.44,0.125,0.325,0.34
0.76,0.125,0.425,0.53
0.57,0.125,0.225,0.38
0.3,0.225,0.925,0.47
0.63,0.425,0.525,0.56
0.33,0.725,0.125,0.35
0.66,0.725,0.625,0.66
0.34,0.925,0.925,0.63
0.51,0.225,0.225,0.37
0.47,0.525,0.425,0.47
0.44,0.825,0.825,0.63
0.36,0.925,0.325,0.46
0.42,0.425,0.125,0.33
0.68,0.125,0.225,0.43
0.67,0.725,0.225,0.55
0.31,0.425,0.425,0.37
0.69,0.925,0.525,0.69
0.65,0.425,0.325,0.51
0.72,0.825,0.325,0.62
0.33,0.525,0.825,0.52
0.67,0.925,0.825,0.77
0.58,0.125,0.225,0.38
0.69,0.925,0.225,0.6
0.63,0.525,0.525,0.58
0.5,0.425,0.425,0.46
0.49,0.925,0.625,0.62
0.47,0.225,0.325,0.38
0.4,0.525,0.425,0.43
0.57,0.225,0.925,0.61
0.34,0.325,0.925,0.51
0.73,0.225,0.325,0.51
0.55,0.425,0.525,0.52
0.51,0.625,0.925,0.66
0.76,0.325,0.325,0.54
0.46,0.325,0.825,0.54
0.4,0.525,0.325,0.4
0.33,0.225,0.725,0.43
0.32,0.325,0.425,0.35
0.37,0.425,0.225,0.34
0.51,0.425,0.625,0.53
0.56,0.425,0.425,0.49
0.51,0.725,0.525,0.56
0.39,0.725,0.325,0.44
0.7,0.725,0.225,0.56
0.6,0.925,0.725,0.7
0.49,0.525,0.425,0.48
0.42,0.825,0.525,0.53
0.69,0.925,0.825,0.78
0.77,0.225,0.425,0.56
0.6,0.325,0.425,0.49
0.41,0.525,0.825,0.56
0.53,0.425,0.225,0.42
0.3,0.425,0.325,0.33
0.43,0.425,0.425,0.43
0.74,0.225,0.725,0.63
0.61,0.825,0.625,0.66
0.78,0.425,0.825,0.72
0.32,0.225,0.525,0.36
0.38,0.425,0.725,0.49
0.41,0.725,0.925,0.63
0.37,0.625,0.225,0.38
0.31,0.225,0.825,0.45
0.4,0.525,0.425,0.43
0.6,0.925,0.325,0.58
0.76,0.325,0.525,0.6
0.59,0.725,0.725,0.66
0.48,0.125,0.925,0.54
0.61,0.325,0.725,0.59
0.34,0.925,0.825,0.6
0.37,0.225,0.525,0.39
0.55,0.925,0.425,0.59
0.39,0.725,0.125,0.38
0.7,0.925,0.725,0.75
0.39,0.725,0.825,0.59
0.35,0.925,0.825,0.61
0.31,0.325,0.725,0.44
0.69,0.125,0.925,0.65
0.69,0.525,0.225,0.52
0.35,0.625,0.125,0.34
0.45,0.225,0.525,0.43
0.68,0.925,0.125,0.56
0.48,0.425,0.125,0.36
0.54,0.125,0.825,0.54
0.68,0.925,0.525,0.68
0.57,0.225,0.725,0.55
0.49,0.825,0.125,0.45
0.53,0.125,0.625,0.48
0.58,0.625,0.925,0.69
0.32,0.825,0.325,0.42
0.56,0.225,0.325,0.42
0.66,0.125,0.125,0.39
0.55,0.625,0.125,0.44
0.38,0.225,0.325,0.33
0.32,0.125,0.125,0.22
0.69,0.725,0.425,0.62
0.43,0.125,0.125,0.28
0.8,0.225,0.925,0.72
0.5,0.125,0.925,0.55
0.4,0.225,0.225,0.31
0.45,0.725,0.525,0.53
0.42,0.325,0.825,0.52
0.57,0.425,0.725,0.59
0.72,0.325,0.125,0.46
0.55,0.125,0.725,0.52
0.78,0.425,0.225,0.54
0.33,0.325,0.725,0.45
0.78,0.525,0.425,0.62
0.64,0.125,0.125,0.38
0.69,0.625,0.825,0.72
0.61,0.125,0.925,0.61
0.76,0.425,0.925,0.74
0.46,0.325,0.325,0.39
0.33,0.725,0.125,0.35
0.78,0.125,0.725,0.63
0.57,0.125,0.525,0.47
0.35,0.925,0.625,0.55
0.69,0.325,0.625,0.6
0.68,0.425,0.725,0.64
0.78,0.925,0.425,0.7
0.31,0.525,0.225,0.33
0.66,0.525,0.925,0.71
0.4,0.425,0.525,0.44
0.38,0.525,0.825,0.54
0.41,0.625,0.825,0.58
0.46,0.425,0.625,0.5
0.52,0.525,0.425,0.49
0.4,0.325,0.125,0.3
0.33,0.525,0.225,0.34
0.43,0.525,0.425,0.45
0.4,0.625,0.825,0.57
0.75,0.225,0.125,0.46
0.31,0.225,0.925,0.48
0.73,0.225,0.725,0.63
0.5,0.325,0.425,0.44
0.47,0.425,0.425,0.45
0.37,0.525,0.625,0.48
0.48,0.425,0.425,0.45
0.34,0.625,0.225,0.36
0.69,0.625,0.225,0.54
0.53,0.225,0.525,0.47
0.62,0.825,0.925,0.75
0.52,0.225,0.225,0.37
0.7,0.725,0.325,0.59
0.31,0.825,0.925,0.6
0.64,0.625,0.325,0.54
0.48,0.825,0.925,0.68
0.47,0.925,0.125,0.46
0.59,0.825,0.225,0.53
0.31,0.325,0.625,0.41
0.41,0.225,0.825,0.5
0.79,0.825,0.525,0.72
0.75,0.225,0.325,0.52
0.79,0.825,0.525,0.72
0.62,0.625,0.425,0.56
0.45,0.325,0.725,0.51
0.76,0.325,0.525,0.6
0.61,0.825,0.125,0.51
0.33,0.325,0.225,0.3
0.41,0.925,0.125,0.43
0.32,0.125,0.225,0.25
0.8,0.525,0.125,0.54
0.51,0.425,0.425,0.47
0.67,0.525,0.225,0.51
0.54,0.925,0.625,0.64
0.79,0.225,0.625,0.63
0.57,0.425,0.825,0.62
0.46,0.425,0.625,0.5
0.66,0.825,0.125,0.53
0.47,0.225,0.925,0.56
0.67,0.725,0.125,0.52
0.71,0.225,0.325,0.5
0.42,0.925,0.625,0.58
0.64,0.725,0.425,0.59
0.43,0.325,0.925,0.56
0.42,0.125,0.325,0.33
0.73,0.225,0.225,0.48
0.46,0.225,0.625,0.46
0.74,0.625,0.325,0.59
0.75,0.125,0.825,0.65
0.46,0.325,0.125,0.33
0.62,0.425,0.425,0.52
0.39,0.525,0.925,0.58
0.48,0.525,0.925,0.62
0.68,0.825,0.225,0.57
0.67,0.625,0.925,0.74
0.64,0.725,0.225,0.53
0.3,0.525,0.725,0.47
0.33,0.925,0.325,0.45
0.44,0.325,0.125,0.32
0.69,0.325,0.925,0.69
0.64,0.425,0.225,0.47
0.38,0.725,0.525,0.49
0.32,0.625,0.125,0.32
0.33,0.825,0.525,0.49
0.77,0.725,0.525,0.69
0.43,0.425,0.825,0.55
0.47,0.825,0.425,0.53
0.74,0.225,0.425,0.54
0.35,0.425,0.625,0.45
0.49,0.825,0.625,0.6
0.59,0.725,0.225,0.51
0.48,0.325,0.925,0.58
0.4,0.225,0.525,0.4
0.79,0.325,0.425,0.59
0.45,0.825,0.625,0.58
0.51,0.525,0.425,0.49
0.32,0.125,0.425,0.31
0.51,0.325,0.525,0.48
0.78,0.725,0.225,0.6
0.79,0.425,0.825,0.73
0.34,0.425,0.525,0.41
0.6,0.525,0.825,0.65
0.32,0.825,0.825,0.57
0.43,0.925,0.925,0.68
0.64,0.125,0.725,0.56
0.66,0.125,0.225,0.42
0.43,0.325,0.425,0.41
0.54,0.125,0.325,0.39
0.75,0.925,0.625,0.75
0.31,0.725,0.925,0.58
0.44,0.425,0.325,0.4
0.45,0.225,0.125,0.31
0.46,0.425,0.925,0.59
0.45,0.825,0.525,0.55
0.3,0.425,0.425,0.36
0.65,0.725,0.725,0.69
0.47,0.825,0.525,0.56
0.68,0.625,0.625,0.65
0.65,0.925,0.925,0.79
0.56,0.825,0.325,0.54
0.35,0.725,0.125,0.36
0.56,0.325,0.325,0.44
0.63,0.425,0.225,0.47
0.46,0.125,0.725,0.47
0.32,0.925,0.225,0.41
0.64,0.625,0.225,0.51
0.31,0.725,0.925,0.58
0.75,0.325,0.325,0.54
0.62,0.725,0.525,0.61
0.57,0.325,0.425,0.48
0.45,0.425,0.225,0.38
0.47,0.825,0.225,0.47
0.74,0.525,0.325,0.57
0.43,0.425,0.525,0.46
0.76,0.425,0.925,0.74
0.31,0.225,0.725,0.42
0.55,0.925,0.125,0.5
0.65,0.225,0.825,0.62
0.69,0.125,0.925,0.65
0.67,0.325,0.425,0.53
0.5,0.925,0.425,0.56
0.71,0.225,0.125,0.44
0.32,0.125,0.625,0.37
0.64,0.725,0.225,0.53
0.45,0.225,0.625,0.46
0.65,0.425,0.525,0.57
0.6,0.725,0.825,0.69
0.69,0.525,0.725,0.67
0.36,0.125,0.925,0.48
0.39,0.925,0.325,0.48
0.55,0.125,0.125,0.34
0.58,0.725,0.925,0.71
0.35,0.425,0.825,0.51
0.43,0.725,0.125,0.4
0.3,0.725,0.825,0.54
0.69,0.125,0.725,0.59
0.37,0.825,0.725,0.57
0.61,0.325,0.225,0.44
0.48,0.625,0.525,0.52
0.48,0.825,0.825,0.65
0.48,0.325,0.325,0.4
0.77,0.325,0.825,0.7
0.34,0.425,0.725,0.47
0.77,0.625,0.825,0.76
0.64,0.625,0.625,0.63
0.49,0.225,0.825,0.54
0.79,0.525,0.525,0.66
0.52,0.625,0.925,0.66
0.66,0.825,0.425,0.62
0.54,0.325,0.525,0.49
0.43,0.125,0.825,0.49
0.32,0.625,0.425,0.41
0.79,0.925,0.725,0.8
0.62,0.425,0.525,0.55
0.71,0.925,0.425,0.67
0.38,0.225,0.125,0.27
0.36,0.525,0.425,0.41
0.47,0.325,0.925,0.58
0.36,0.325,0.125,0.28
0.48,0.725,0.525,0.54
0.36,0.125,0.225,0.27
0.33,0.225,0.125,0.25
0.74,0.825,0.225,0.6
0.61,0.225,0.725,0.57
0.76,0.225,0.725,0.64
0.71,0.225,0.525,0.56
0.47,0.725,0.825,0.63
0.34,0.125,0.325,0.29
0.32,0.425,0.425,0.37
0.74,0.925,0.625,0.74
0.48,0.425,0.825,0.57
0.68,0.125,0.925,0.64
0.38,0.725,0.125,0.37
0.64,0.925,0.525,0.66
0.71,0.325,0.425,0.55
0.37,0.325,0.225,0.32
0.51,0.725,0.125,0.44
0.67,0.725,0.825,0.73
0.63,0.725,0.725,0.68
0.55,0.825,0.325,0.54
0.36,0.125,0.825,0.45
0.79,0.925,0.625,0.77
0.75,0.925,0.325,0.66
0.39,0.625,0.425,0.45
0.48,0.125,0.225,0.33
0.39,0.225,0.825,0.49
0.53,0.125,0.825,0.54
0.33,0.125,0.625,0.38
0.63,0.625,0.125,0.48
0.48,0.325,0.425,0.43
0.43,0.625,0.525,0.5
0.79,0.425,0.825,0.73
0.48,0.225,0.925,0.56
0.38,0.425,0.525,0.43
0.72,0.725,0.125,0.54
0.7,0.425,0.425,0.56
0.65,0.325,0.725,0.61
0.68,0.325,0.125,0.44
0.63,0.925,0.725,0.72
0.8,0.425,0.325,0.58
0.47,0.425,0.625,0.51
0.58,0.525,0.725,0.61
0.5,0.225,0.325,0.39
0.31,0.825,0.225,0.39
0.62,0.525,0.725,0.63
0.49,0.125,0.325,0.37
0.45,0.325,0.125,0.33
0.46,0.625,0.425,0.48
0.46,0.525,0.625,0.52
0.64,0.425,0.625,0.59
0.45,0.725,0.225,0.44
0.36,0.525,0.225,0.35
0.47,0.425,0.225,0.39
0.65,0.125,0.725,0.57
0.55,0.925,0.825,0.71
0.42,0.725,0.525,0.51
0.39,0.925,0.725,0.6
0.55,0.925,0.625,0.65
0.77,0.425,0.425,0.6
0.34,0.425,0.625,0.44
0.75,0.225,0.825,0.67
0.44,0.525,0.425,0.45
0.44,0.825,0.925,0.66
0.67,0.225,0.425,0.51
0.49,0.125,0.925,0.55
0.67,0.425,0.525,0.58
0.42,0.925,0.525,0.55
0.31,0.625,0.725,0.5
0.4,0.425,0.325,0.38
0.49,0.825,0.625,0.6
0.33,0.425,0.825,0.5
0.31,0.525,0.125,0.3
0.61,0.425,0.725,0.61
0.56,0.725,0.125,0.46
0.45,0.825,0.725,0.61
0.55,0.125,0.125,0.34
0.69,0.125,0.525,0.53
0.53,0.425,0.525,0.51
0.31,0.325,0.125,0.26
0.49,0.825,0.725,0.63
0.32,0.325,0.725,0.44
0.7,0.725,0.725,0.71
0.74,0.325,0.725,0.65
0.69,0.225,0.525,0.55
0.33,0.825,0.625,0.52
0.73,0.425,0.825,0.7
0.31,0.825,0.425,0.45
0.64,0.225,0.425,0.49
0.66,0.925,0.825,0.76
0.41,0.825,0.725,0.59
0.69,0.725,0.725,0.71
0.58,0.425,0.725,0.59
0.36,0.525,0.625,0.47
0.35,0.725,0.825,0.57
0.56,0.725,0.125,0.46
0.54,0.125,0.525,0.45
0.75,0.625,0.725,0.72
0.71,0.725,0.725,0.72
0.7,0.125,0.425,0.5
0.46,0.925,0.825,0.66
0.44,0.425,0.425,0.43
0.56,0.825,0.625,0.63
0.47,0.725,0.725,0.6
0.31,0.525,0.625,0.45
0.5,0.425,0.225,0.4
0.47,0.525,0.225,0.41
0.62,0.425,0.425,0.52
0.66,0.325,0.225,0.46
0.44,0.425,0.225,0.37
0.43,0.525,0.525,0.48
0.36,0.125,0.725,0.42
0.57,0.625,0.925,0.69
0.69,0.125,0.925,0.65
0.38,0.425,0.925,0.55
0.49,0.125,0.325,0.37
0.56,0.725,0.125,0.46
0.48,0.925,0.225,0.49
0.58,0.525,0.225,0.46
0.78,0.525,0.725,0.71
0.45,0.425,0.325,0.41
0.38,0.225,0.625,0.42
0.35,0.725,0.925,0.6
0.43,0.925,0.125,0.44
0.48,0.825,0.325,0.5
0.73,0.425,0.225,0.52
0.69,0.825,0.225,0.58
0.45,0.225,0.325,0.37
0.35,0.125,0.625,0.39
0.75,0.725,0.525,0.68
0.43,0.625,0.525,0.5
0.46,0.225,0.725,0.49
0.64,0.825,0.425,0.61
0.68,0.425,0.625,0.61
0.51,0.525,0.225,0.43
0.37,0.725,0.725,0.55
0.77,0.425,0.125,0.51
0.78,0.825,0.125,0.59
0.3,0.925,0.725,0.55
0.51,0.225,0.725,0.52
0.39,0.425,0.825,0.53
0.57,0.125,0.425,0.44
0.63,0.825,0.725,0.7
0.7,0.825,0.725,0.73
0.63,0.825,0.125,0.52
0.46,0.425,0.325,0.41
0.51,0.525,0.625,0.55
0.79,0.325,0.125,0.5
0.36,0.125,0.725,0.42
0.72,0.125,0.225,0.45
0.47,0.125,0.225,0.33
0.46,0.925,0.625,0.6
0.49,0.725,0.925,0.67
0.43,0.725,0.625,0.55
0.75,0.625,0.825,0.75
0.39,0.225,0.225,0.31
0.31,0.625,0.125,0.32
0.54,0.225,0.225,0.38
0.38,0.125,0.525,0.37
0.67,0.525,0.425,0.57
0.36,0.225,0.525,0.38
0.55,0.425,0.725,0.58
0.59,0.125,0.125,0.36
0.37,0.825,0.525,0.51
0.7,0.325,0.725,0.63
0.61,0.425,0.525,0.55
0.4,0.925,0.825,0.63
0.69,0.325,0.825,0.66
0.54,0.125,0.125,0.33
0.61,0.325,0.625,0.56
0.61,0.125,0.225,0.4
0.34,0.625,0.625,0.48
